servicio;comuna;estrato;suscriptores;cobertura;periodo;
Acueducto;1;1;8809;90%;31/12/2019;
Alcantarillado;1;1;8173;84%;31/12/2019;
Aseo;1;1;8494;87%;31/12/2019;
Acueducto;1;2;14632;95%;31/12/2019;
Alcantarillado;1;2;14353;94%;31/12/2019;
Aseo;1;2;14111;92%;31/12/2019;
Acueducto;1;3;8;80%;31/12/2019;
Alcantarillado;1;3;12;120%;31/12/2019;
Aseo;1;3;4;40%;31/12/2019;
Acueducto;1;4;3;300%;31/12/2019;
Alcantarillado;1;4;6;600%;31/12/2019;
Aseo;1;4;9;900%;31/12/2019;
Acueducto;2;1;2335;93%;31/12/2019;
Alcantarillado;2;1;2164;86%;31/12/2019;
Aseo;2;1;2548;101%;31/12/2019;
Acueducto;2;2;17064;96%;31/12/2019;
Alcantarillado;2;2;16649;94%;31/12/2019;
Aseo;2;2;16562;93%;31/12/2019;
Acueducto;2;3;12;32%;31/12/2019;
Alcantarillado;2;3;19;51%;31/12/2019;
Aseo;2;3;11;30%;31/12/2019;
Acueducto;2;4;3;300%;31/12/2019;
Alcantarillado;2;4;4;400%;31/12/2019;
Aseo;2;4;13;1300%;31/12/2019;
Acueducto;3;1;6843;84%;31/12/2019;
Alcantarillado;3;1;6488;79%;31/12/2019;
Aseo;3;1;7169;88%;31/12/2019;
Acueducto;3;2;19200;97%;31/12/2019;
Alcantarillado;3;2;19165;97%;31/12/2019;
Aseo;3;2;18933;96%;31/12/2019;
Acueducto;3;3;5711;95%;31/12/2019;
Alcantarillado;3;3;5685;94%;31/12/2019;
Aseo;3;3;5706;94%;31/12/2019;
Acueducto;3;4;22;63%;31/12/2019;
Alcantarillado;3;4;22;63%;31/12/2019;
Aseo;3;4;24;69%;31/12/2019;
Acueducto;3;5;2;33%;31/12/2019;
Alcantarillado;3;5;2;33%;31/12/2019;
Aseo;3;5;1;17%;31/12/2019;
Acueducto;4;1;3128;101%;31/12/2019;
Alcantarillado;4;1;2769;89%;31/12/2019;
Aseo;4;1;3123;101%;31/12/2019;
Acueducto;4;2;12820;102%;31/12/2019;
Alcantarillado;4;2;12592;100%;31/12/2019;
Aseo;4;2;12914;103%;31/12/2019;
Acueducto;4;3;22242;94%;31/12/2019;
Alcantarillado;4;3;22018;93%;31/12/2019;
Aseo;4;3;22251;94%;31/12/2019;
Acueducto;4;4;32;123%;31/12/2019;
Alcantarillado;4;4;38;146%;31/12/2019;
Aseo;4;4;41;158%;31/12/2019;
Acueducto;5;1;299;74%;31/12/2019;
Alcantarillado;5;1;113;28%;31/12/2019;
Aseo;5;1;274;68%;31/12/2019;
Acueducto;5;2;3695;105%;31/12/2019;
Alcantarillado;5;2;2886;82%;31/12/2019;
Aseo;5;2;3390;96%;31/12/2019;
Acueducto;5;3;24054;97%;31/12/2019;
Alcantarillado;5;3;24080;97%;31/12/2019;
Aseo;5;3;24149;97%;31/12/2019;
Acueducto;5;4;523;90%;31/12/2019;
Alcantarillado;5;4;527;91%;31/12/2019;
Aseo;5;4;531;91%;31/12/2019;
Acueducto;6;1;5756;117%;31/12/2019;
Alcantarillado;6;1;5757;117%;31/12/2019;
Aseo;6;1;5777;118%;31/12/2019;
Acueducto;6;2;20423;97%;31/12/2019;
Alcantarillado;6;2;20364;96%;31/12/2019;
Aseo;6;2;20240;96%;31/12/2019;
Acueducto;6;3;10780;93%;31/12/2019;
Alcantarillado;6;3;10780;93%;31/12/2019;
Aseo;6;3;10737;92%;31/12/2019;
Acueducto;6;4;2;50%;31/12/2019;
Alcantarillado;6;4;1;25%;31/12/2019;
Aseo;6;4;16;400%;31/12/2019;
Acueducto;7;1;5502;152%;31/12/2019;
Alcantarillado;7;1;5511;152%;31/12/2019;
Aseo;7;1;5710;157%;31/12/2019;
Acueducto;7;2;18999;84%;31/12/2019;
Alcantarillado;7;2;18929;84%;31/12/2019;
Aseo;7;2;18580;83%;31/12/2019;
Acueducto;7;3;17220;101%;31/12/2019;
Alcantarillado;7;3;17183;101%;31/12/2019;
Aseo;7;3;17788;105%;31/12/2019;
Acueducto;7;4;6827;103%;31/12/2019;
Alcantarillado;7;4;6832;103%;31/12/2019;
Aseo;7;4;6.544;99%;31/12/2019;
Acueducto;7;5;1586;85%;31/12/2019;
Alcantarillado;7;5;1581;85%;31/12/2019;
Aseo;7;5;1496;81%;31/12/2019;
Acueducto;8;1;9149;90%;31/12/2019;
Alcantarillado;8;1;9591;95%;31/12/2019;
Aseo;8;1;9377;93%;31/12/2019;
Acueducto;8;2;12600;97%;31/12/2019;
Alcantarillado;8;2;12471;96%;31/12/2019;
Aseo;8;2;12458;96%;31/12/2019;
Acueducto;8;3;10437;96%;31/12/2019;
Alcantarillado;8;3;10397;96%;31/12/2019;
Aseo;8;3;10449;96%;31/12/2019;
Acueducto;8;4;1268;125%;31/12/2019;
Alcantarillado;8;4;1288;127%;31/12/2019;
Aseo;8;4;1266;125%;31/12/2019;
Acueducto;9;1;1551;103%;31/12/2019;
Alcantarillado;9;1;1583;105%;31/12/2019;
Aseo;9;1;1545;102%;31/12/2019;
Acueducto;9;2;8050;95%;31/12/2019;
Alcantarillado;9;2;8091;96%;31/12/2019;
Aseo;9;2;8057;96%;31/12/2019;
Acueducto;9;3;27585;98%;31/12/2019;
Alcantarillado;9;3;27646;99%;31/12/2019;
Aseo;9;3;27130;97%;31/12/2019;
Acueducto;9;4;5939;97%;31/12/2019;
Alcantarillado;9;4;5939;97%;31/12/2019;
Aseo;9;4;6384;105%;31/12/2019;
Acueducto;9;5;310;99%;31/12/2019;
Alcantarillado;9;5;311;99%;31/12/2019;
Aseo;9;5;469;150%;31/12/2019;
Acueducto;9;6;439;100%;31/12/2019;
Alcantarillado;9;6;438;99%;31/12/2019;
Aseo;9;6;441;100%;31/12/2019;
Acueducto;10;1;201;84%;31/12/2019;
Alcantarillado;10;1;209;87%;31/12/2019;
Aseo;10;1;250;105%;31/12/2019;
Acueducto;10;2;2275;108%;31/12/2019;
Alcantarillado;10;2;2272;108%;31/12/2019;
Aseo;10;2;2646;125%;31/12/2019;
Acueducto;10;3;10295;98%;31/12/2019;
Alcantarillado;10;3;10255;97%;31/12/2019;
Aseo;10;3;10244;97%;31/12/2019;
Acueducto;10;4;15506;91%;31/12/2019;
Alcantarillado;10;4;15549;91%;31/12/2019;
Aseo;10;4;15811;92%;31/12/2019;
Acueducto;10;5;1587;94%;31/12/2019;
Alcantarillado;10;5;1587;94%;31/12/2019;
Aseo;10;5;1452;86%;31/12/2019;
Acueducto;11;1;1;100%;31/12/2019;
Alcantarillado;11;1;1;100%;31/12/2019;
Aseo;11;1;2;200%;31/12/2019;
Acueducto;11;2;29;74%;31/12/2019;
Alcantarillado;11;2;27;69%;31/12/2019;
Aseo;11;2;32;82%;31/12/2019;
Acueducto;11;3;260;67%;31/12/2019;
Alcantarillado;11;3;259;67%;31/12/2019;
Aseo;11;3;387;100%;31/12/2019;
Acueducto;11;4;12981;99%;31/12/2019;
Alcantarillado;11;4;12978;99%;31/12/2019;
Aseo;11;4;12951;99%;31/12/2019;
Acueducto;11;5;26158;100%;31/12/2019;
Alcantarillado;11;5;26114;100%;31/12/2019;
Aseo;11;5;26192;100%;31/12/2019;
Acueducto;11;6;194;15%;31/12/2019;
Alcantarillado;11;6;189;15%;31/12/2019;
Aseo;11;6;121;9%;31/12/2019;
Acueducto;12;1;60;113%;31/12/2019;
Alcantarillado;12;1;62;117%;31/12/2019;
Aseo;12;1;47;89%;31/12/2019;
Acueducto;12;2;488;126%;31/12/2019;
Alcantarillado;12;2;481;124%;31/12/2019;
Aseo;12;2;492;127%;31/12/2019;
Acueducto;12;3;8526;105%;31/12/2019;
Alcantarillado;12;3;8538;105%;31/12/2019;
Aseo;12;3;8735;108%;31/12/2019;
Acueducto;12;4;14672;95%;31/12/2019;
Alcantarillado;12;4;14652;94%;31/12/2019;
Aseo;12;4;14671;95%;31/12/2019;
Acueducto;12;5;8976;96%;31/12/2019;
Alcantarillado;12;5;9045;97%;31/12/2019;
Aseo;12;5;9006;96%;31/12/2019;
Acueducto;12;6;6;5%;31/12/2019;
Alcantarillado;12;6;6;5%;31/12/2019;
Aseo;12;6;20;16%;31/12/2019;
Acueducto;13;1;10971;99%;31/12/2019;
Alcantarillado;13;1;11092;100%;31/12/2019;
Aseo;13;1;10744;97%;31/12/2019;
Acueducto;13;2;12868;93%;31/12/2019;
Alcantarillado;13;2;12876;93%;31/12/2019;
Aseo;13;2;12955;94%;31/12/2019;
Acueducto;13;3;10737;103%;31/12/2019;
Alcantarillado;13;3;10722;103%;31/12/2019;
Aseo;13;3;10786;103%;31/12/2019;
Acueducto;13;4;3088;94%;31/12/2019;
Alcantarillado;13;4;3086;94%;31/12/2019;
Aseo;13;4;3085;94%;31/12/2019;
Acueducto;13;5;0;0%;31/12/2019;
Alcantarillado;13;5;0;0%;31/12/2019;
Aseo;13;5;13;39%;31/12/2019;
Acueducto;14;1;8;67%;31/12/2019;
Alcantarillado;14;1;9;75%;31/12/2019;
Aseo;14;1;10;83%;31/12/2019;
Acueducto;14;2;398;111%;31/12/2019;
Alcantarillado;14;2;397;111%;31/12/2019;
Aseo;14;2;490;136%;31/12/2019;
Acueducto;14;3;411;87%;31/12/2019;
Alcantarillado;14;3;408;86%;31/12/2019;
Aseo;14;3;465;98%;31/12/2019;
Acueducto;14;4;1434;119%;31/12/2019;
Alcantarillado;14;4;1428;118%;31/12/2019;
Aseo;14;4;1701;141%;31/12/2019;
Acueducto;14;5;9309;116%;31/12/2019;
Alcantarillado;14;5;9318;116%;31/12/2019;
Aseo;14;5;9235;115%;31/12/2019;
Acueducto;14;6;36351;94%;31/12/2019;
Alcantarillado;14;6;36403;94%;31/12/2019;
Aseo;14;6;36174;93%;31/12/2019;
Acueducto;15;1;87;114%;31/12/2019;
Alcantarillado;15;1;81;107%;31/12/2019;
Aseo;15;1;88;116%;31/12/2019;
Acueducto;15;2;2224;103%;31/12/2019;
Alcantarillado;15;2;2237;104%;31/12/2019;
Aseo;15;2;2160;100%;31/12/2019;
Acueducto;15;3;9082;97%;31/12/2019;
Alcantarillado;15;3;9046;96%;31/12/2019;
Aseo;15;3;9069;97%;31/12/2019;
Acueducto;15;4;5070;94%;31/12/2019;
Alcantarillado;15;4;5064;94%;31/12/2019;
Aseo;15;4;5069;94%;31/12/2019;
Acueducto;15;5;11;38%;31/12/2019;
Alcantarillado;15;5;11;38%;31/12/2019;
Aseo;15;5;2;7%;31/12/2019;
Acueducto;16;1;801;112%;31/12/2019;
Alcantarillado;16;1;794;111%;31/12/2019;
Aseo;16;1;801;112%;31/12/2019;
Acueducto;16;2;7988;102%;31/12/2019;
Alcantarillado;16;2;8013;102%;31/12/2019;
Aseo;16;2;7927;101%;31/12/2019;
Acueducto;16;3;25097;99%;31/12/2019;
Alcantarillado;16;3;25083;99%;31/12/2019;
Aseo;16;3;25210;100%;31/12/2019;
Acueducto;16;4;18456;93%;31/12/2019;
Alcantarillado;16;4;18467;93%;31/12/2019;
Aseo;16;4;18130;91%;31/12/2019;
Acueducto;16;5;15277;101%;31/12/2019;
Alcantarillado;16;5;15295;101%;31/12/2019;
Aseo;16;5;15469;102%;31/12/2019;
Acueducto;16;6;52;46%;31/12/2019;
Alcantarillado;16;6;53;47%;31/12/2019;
Aseo;16;6;23;21%;31/12/2019;
Acueducto;50;1;94;409%;31/12/2019;
Alcantarillado;50;1;3;13%;31/12/2019;
Aseo;50;1;223;970%;31/12/2019;
Acueducto;50;2;211;14%;31/12/2019;
Alcantarillado;50;2;209;14%;31/12/2019;
Aseo;50;2;510;35%;31/12/2019;
Acueducto;50;3;30;14%;31/12/2019;
Alcantarillado;50;3;19;9%;31/12/2019;
Aseo;50;3;29;14%;31/12/2019;
Acueducto;50;4;3;43%;31/12/2019;
Alcantarillado;50;4;30;429%;31/12/2019;
Aseo;50;4;8;114%;31/12/2019;
Acueducto;60;1;6025;154%;31/12/2019;
Alcantarillado;60;1;6066;155%;31/12/2019;
Aseo;60;1;6818;174%;31/12/2019;
Acueducto;60;2;14371;83%;31/12/2019;
Alcantarillado;60;2;12429;72%;31/12/2019;
Aseo;60;2;13451;77%;31/12/2019;
Acueducto;60;3;8517;83%;31/12/2019;
Alcantarillado;60;3;8176;80%;31/12/2019;
Aseo;60;3;8263;81%;31/12/2019;
Acueducto;60;4;1666;93%;31/12/2019;
Alcantarillado;60;4;1666;93%;31/12/2019;
Aseo;60;4;1717;96%;31/12/2019;
Acueducto;60;5;5;25%;31/12/2019;
Alcantarillado;60;5;0;0%;31/12/2019;
Aseo;60;5;12;60%;31/12/2019;
Acueducto;70;1;547;180%;31/12/2019;
Alcantarillado;70;1;430;141%;31/12/2019;
Aseo;70;1;498;164%;31/12/2019;
Acueducto;70;2;2304;54%;31/12/2019;
Alcantarillado;70;2;3670;87%;31/12/2019;
Aseo;70;2;2947;70%;31/12/2019;
Acueducto;70;3;809;78%;31/12/2019;
Alcantarillado;70;3;806;78%;31/12/2019;
Aseo;70;3;908;87%;31/12/2019;
Acueducto;70;4;904;67%;31/12/2019;
Alcantarillado;70;4;955;71%;31/12/2019;
Aseo;70;4;904;67%;31/12/2019;
Acueducto;70;5;2709;100%;31/12/2019;
Alcantarillado;70;5;2707;100%;31/12/2019;
Aseo;70;5;2705;100%;31/12/2019;
Acueducto;80;1;534;545%;31/12/2019;
Alcantarillado;80;1;541;552%;31/12/2019;
Aseo;80;1;826;843%;31/12/2019;
Acueducto;80;2;13663;104%;31/12/2019;
Alcantarillado;80;2;12710;97%;31/12/2019;
Aseo;80;2;14578;111%;31/12/2019;
Acueducto;80;3;15143;83%;31/12/2019;
Alcantarillado;80;3;14985;82%;31/12/2019;
Aseo;80;3;14946;82%;31/12/2019;
Acueducto;80;4;66;54%;31/12/2019;
Alcantarillado;80;4;28;23%;31/12/2019;
Aseo;80;4;98;80%;31/12/2019;
Acueducto;80;5;12;171%;31/12/2019;
Alcantarillado;80;5;14;200%;31/12/2019;
Aseo;80;5;4;57%;31/12/2019;
Acueducto;90;1;1300;68%;31/12/2019;
Alcantarillado;90;1;1039;55%;31/12/2019;
Aseo;90;1;1169;61%;31/12/2019;
Acueducto;90;2;2699;61%;31/12/2019;
Alcantarillado;90;2;104;2%;31/12/2019;
Aseo;90;2;2414;55%;31/12/2019;
Acueducto;90;3;899;42%;31/12/2019;
Alcantarillado;90;3;17;1%;31/12/2019;
Aseo;90;3;930;44%;31/12/2019;
Acueducto;90;4;210;85%;31/12/2019;
Alcantarillado;90;4;14;6%;31/12/2019;
Aseo;90;4;151;61%;31/12/2019;
Acueducto;90;5;140;63%;31/12/2019;
Alcantarillado;90;5;139;62%;31/12/2019;
Aseo;90;5;177;79%;31/12/2019;
Acueducto;90;6;109;22%;31/12/2019;
Alcantarillado;90;6;135;27%;31/12/2019;
Aseo;90;6;129;26%;31/12/2019;
Acueducto;1;1;8977;90.69%;31/12/2018;9069%
Alcantarillado;1;1;7931;80.12%;31/12/2018;
Aseo;1;1;8464;85.50%;31/12/2018;
Acueducto;1;2;15092;97.77%;31/12/2018;
Alcantarillado;1;2;14836;96.11%;31/12/2018;
Aseo;1;2;14945;96.81%;31/12/2018;
Acueducto;1;3;5;55.56%;31/12/2018;
Alcantarillado;1;3;6;66.67%;31/12/2018;
Aseo;1;3;7;77.78%;31/12/2018;
Acueducto;1;4;4;100.00%;31/12/2018;
Alcantarillado;1;4;4;100.00%;31/12/2018;
Aseo;1;4;4;100.00%;31/12/2018;
Acueducto;2;1;2465;89.41%;31/12/2018;
Alcantarillado;2;1;2126;77.11%;31/12/2018;
Aseo;2;1;2471;89.63%;31/12/2018;
Acueducto;2;2;17358;96.79%;31/12/2018;
Alcantarillado;2;2;16897;94.22%;31/12/2018;
Aseo;2;2;17354;96.77%;31/12/2018;
Acueducto;2;3;10;62.50%;31/12/2018;
Alcantarillado;2;3;10;62.50%;31/12/2018;
Aseo;2;3;15;93.75%;31/12/2018;
Acueducto;2;4;5;100.00%;31/12/2018;
Alcantarillado;2;4;5;100.00%;31/12/2018;
Aseo;2;4;5;100.00%;31/12/2018;
Acueducto;3;1;5740;72.68%;31/12/2018;
Alcantarillado;3;1;5021;63.57%;31/12/2018;
Aseo;3;1;5640;71.41%;31/12/2018;
Acueducto;3;2;19479;98.47%;31/12/2018;
Alcantarillado;3;2;19396;98.05%;31/12/2018;
Aseo;3;2;19366;97.90%;31/12/2018;
Acueducto;3;3;5762;98.60%;31/12/2018;
Alcantarillado;3;3;5710;97.71%;31/12/2018;
Aseo;3;3;5730;98.05%;31/12/2018;
Acueducto;3;4;18;100.00%;31/12/2018;
Alcantarillado;3;4;18;100.00%;31/12/2018;
Aseo;3;4;18;100.00%;31/12/2018;
Acueducto;3;5;4;100.00%;31/12/2018;
Alcantarillado;3;5;4;100.00%;31/12/2018;
Aseo;3;5;4;100.00%;31/12/2018;
Acueducto;4;1;2370;95.18%;31/12/2018;
Alcantarillado;4;1;1772;71.16%;31/12/2018;
Aseo;4;1;2231;89.60%;31/12/2018;
Acueducto;4;2;9954;98.52%;31/12/2018;
Alcantarillado;4;2;9655;95.56%;31/12/2018;
Aseo;4;2;9900;97.98%;31/12/2018;
Acueducto;4;3;19395;98.48%;31/12/2018;
Alcantarillado;4;3;19076;96.86%;31/12/2018;
Aseo;4;3;19401;98.51%;31/12/2018;
Acueducto;4;4;39;97.50%;31/12/2018;
Alcantarillado;4;4;39;97.50%;31/12/2018;
Aseo;4;4;36;90.00%;31/12/2018;
Acueducto;5;1;255;85.86%;31/12/2018;
Alcantarillado;5;1;104;35.02%;31/12/2018;
Aseo;5;1;228;76.77%;31/12/2018;
Acueducto;5;2;3680;96.21%;31/12/2018;
Alcantarillado;5;2;2801;73.23%;31/12/2018;
Aseo;5;2;3635;95.03%;31/12/2018;
Acueducto;5;3;24642;98.65%;31/12/2018;
Alcantarillado;5;3;24780;99.20%;31/12/2018;
Aseo;5;3;24635;98.62%;31/12/2018;
Acueducto;5;4;540;98.90%;31/12/2018;
Alcantarillado;5;4;542;99.27%;31/12/2018;
Aseo;5;4;507;92.86%;31/12/2018;
Acueducto;6;1;5789;98.57%;31/12/2018;
Alcantarillado;6;1;5739;97.72%;31/12/2018;
Aseo;6;1;5742;97.77%;31/12/2018;
Acueducto;6;2;20829;98.78%;31/12/2018;
Alcantarillado;6;2;20676;98.06%;31/12/2018;
Aseo;6;2;20769;98.50%;31/12/2018;
Acueducto;6;3;10909;98.80%;31/12/2018;
Alcantarillado;6;3;10877;98.51%;31/12/2018;
Aseo;6;3;10824;98.03%;31/12/2018;
Acueducto;6;4;3;100.00%;31/12/2018;
Alcantarillado;6;4;3;100.00%;31/12/2018;
Aseo;6;4;3;100.00%;31/12/2018;
Acueducto;7;1;4103;92.68%;31/12/2018;
Alcantarillado;7;1;3759;84.91%;31/12/2018;
Aseo;7;1;3912;88.37%;31/12/2018;
Acueducto;7;2;19140;98.14%;31/12/2018;
Alcantarillado;7;2;19007;97.46%;31/12/2018;
Aseo;7;2;19030;97.57%;31/12/2018;
Acueducto;7;3;18562;99.59%;31/12/2018;
Alcantarillado;7;3;18277;98.06%;31/12/2018;
Aseo;7;3;18015;96.66%;31/12/2018;
Acueducto;7;4;6459;89.47%;31/12/2018;
Alcantarillado;7;4;7201;99.75%;31/12/2018;
Aseo;7;4;6379;88.36%;31/12/2018;
Acueducto;7;5;1747;100.00%;31/12/2018;
Alcantarillado;7;5;1745;99.89%;31/12/2018;
Aseo;7;5;1695;97.02%;31/12/2018;
Acueducto;8;1;9373;90.63%;31/12/2018;
Alcantarillado;8;1;9076;87.76%;31/12/2018;
Aseo;8;1;9078;87.78%;31/12/2018;
Acueducto;8;2;12762;97.58%;31/12/2018;
Alcantarillado;8;2;12284;93.92%;31/12/2018;
Aseo;8;2;12727;97.31%;31/12/2018;
Acueducto;8;3;10765;98.82%;31/12/2018;
Alcantarillado;8;3;10687;98.10%;31/12/2018;
Aseo;8;3;10759;98.76%;31/12/2018;
Acueducto;8;4;1338;99.11%;31/12/2018;
Alcantarillado;8;4;1327;98.30%;31/12/2018;
Aseo;8;4;1310;97.04%;31/12/2018;
Acueducto;9;1;1310;93.50%;31/12/2018;
Alcantarillado;9;1;1340;95.65%;31/12/2018;
Aseo;9;1;1289;92.01%;31/12/2018;
Acueducto;9;2;7950;98.32%;31/12/2018;
Alcantarillado;9;2;8021;99.20%;31/12/2018;
Aseo;9;2;7833;96.87%;31/12/2018;
Acueducto;9;3;27064;98.68%;31/12/2018;
Alcantarillado;9;3;27169;99.06%;31/12/2018;
Aseo;9;3;27006;98.47%;31/12/2018;
Acueducto;9;4;6140;99.85%;31/12/2018;
Alcantarillado;9;4;6096;99.14%;31/12/2018;
Aseo;9;4;6037;98.18%;31/12/2018;
Acueducto;9;5;311;99.68%;31/12/2018;
Alcantarillado;9;5;311;99.68%;31/12/2018;
Aseo;9;5;310;99.36%;31/12/2018;
Acueducto;9;6;284;100.00%;31/12/2018;
Alcantarillado;9;6;284;100.00%;31/12/2018;
Aseo;9;6;283;99.65%;31/12/2018;
Acueducto;10;1;2;100.00%;31/12/2018;
Alcantarillado;10;1;2;100.00%;31/12/2018;
Aseo;10;1;2;100.00%;31/12/2018;
Acueducto;10;2;1611;97.70%;31/12/2018;
Alcantarillado;10;2;1649;100.00%;31/12/2018;
Aseo;10;2;1616;98.00%;31/12/2018;
Acueducto;10;3;10338;98.58%;31/12/2018;
Alcantarillado;10;3;10411;99.28%;31/12/2018;
Aseo;10;3;10261;97.84%;31/12/2018;
Acueducto;10;4;17936;97.71%;31/12/2018;
Alcantarillado;10;4;18044;98.29%;31/12/2018;
Aseo;10;4;17431;94.96%;31/12/2018;
Acueducto;10;5;1414;100.00%;31/12/2018;
Alcantarillado;10;5;1414;100.00%;31/12/2018;
Aseo;10;5;1407;99.50%;31/12/2018;
Acueducto;11;1;2;100.00%;31/12/2018;
Alcantarillado;11;1;2;100.00%;31/12/2018;
Aseo;11;1;2;100.00%;31/12/2018;
Acueducto;11;2;169;100.00%;31/12/2018;
Alcantarillado;11;2;169;100.00%;31/12/2018;
Aseo;11;2;165;97.63%;31/12/2018;
Acueducto;11;3;404;98.78%;31/12/2018;
Alcantarillado;11;3;409;100.00%;31/12/2018;
Aseo;11;3;399;97.56%;31/12/2018;
Acueducto;11;4;14799;99.10%;31/12/2018;
Alcantarillado;11;4;14754;98.80%;31/12/2018;
Aseo;11;4;14195;95.06%;31/12/2018;
Acueducto;11;5;31486;99.51%;31/12/2018;
Alcantarillado;11;5;31173;98.52%;31/12/2018;
Aseo;11;5;29924;94.57%;31/12/2018;
Acueducto;11;6;130;89.66%;31/12/2018;
Alcantarillado;11;6;131;90.34%;31/12/2018;
Aseo;11;6;130;89.66%;31/12/2018;
Acueducto;12;1;51;100.00%;31/12/2018;
Alcantarillado;12;1;51;100.00%;31/12/2018;
Aseo;12;1;50;98.04%;31/12/2018;
Acueducto;12;2;722;99.72%;31/12/2018;
Alcantarillado;12;2;716;98.90%;31/12/2018;
Aseo;12;2;717;99.03%;31/12/2018;
Acueducto;12;3;8787;99.29%;31/12/2018;
Alcantarillado;12;3;8850;100.00%;31/12/2018;
Aseo;12;3;8710;98.42%;31/12/2018;
Acueducto;12;4;17183;99.39%;31/12/2018;
Alcantarillado;12;4;17276;99.92%;31/12/2018;
Aseo;12;4;16868;97.56%;31/12/2018;
Acueducto;12;5;12426;99.42%;31/12/2018;
Alcantarillado;12;5;12015;96.14%;31/12/2018;
Aseo;12;5;11630;93.05%;31/12/2018;
Acueducto;12;6;7;100.00%;31/12/2018;
Alcantarillado;12;6;7;100.00%;31/12/2018;
Aseo;12;6;7;100.00%;31/12/2018;
Acueducto;13;1;11071;95.64%;31/12/2018;
Alcantarillado;13;1;10917;94.31%;31/12/2018;
